iter	Passed	Remaining
670	2111	1035
671	2114	1032
672	2117	1028
673	2119	1025
674	2122	1022
675	2125	1018
676	2128	1015
677	2130	1011
678	2133	1008
679	2136	1005
680	2139	1002
681	2142	998
682	2145	995
683	2148	992
684	2151	989
685	2154	986
686	2157	982
687	2160	979
688	2163	976
689	2166	973
690	2169	970
691	2171	966
692	2174	963
693	2176	959
694	2179	956
695	2181	952
696	2184	949
697	2187	946
698	2190	943
699	2193	939
700	2195	936
701	2197	933
702	2200	929
703	2202	926
704	2205	922
705	2207	919
706	2210	915
707	2212	912
708	2215	909
709	2217	905
710	2219	902
711	2221	898
712	2224	895
713	2226	892
714	2230	888
715	2233	885
716	2235	882
717	2238	879
718	2240	875
719	2243	872
720	2246	869
721	2248	865
722	2251	862
723	2253	859
724	2256	855
725	2259	852
726	2261	849
727	2264	846
728	2266	842
729	2269	839
730	2271	836
731	2275	832
732	2277	829
733	2280	826
734	2283	823
735	2285	819
736	2288	816
737	2290	813
738	2293	809
739	2295	806
740	2298	803
741	2300	799
742	2303	796
743	2306	793
744	2308	790
745	2310	786
746	2313	783
747	2315	780
748	2318	776
749	2321	773
750	2324	770
751	2328	767
752	2332	765
753	2337	762
754	2340	759
755	2343	756
756	2346	753
757	2352	750
758	2356	748
759	2359	745
760	2362	741
761	2366	739
762	2369	735
763	2372	732
764	2374	729
765	2377	726
766	2381	723
767	2383	720
768	2386	716
769	2388	713
770	2391	710
771	2394	707
772	2396	703
773	2399	700
774	2401	697
775	2404	693
776	2406	690
777	2409	687
778	2412	684
779	2415	681
780	2417	677
781	2420	674
782	2423	671
783	2425	668
784	2428	665
785	2430	661
786	2433	658
787	2435	655
788	2438	652
789	2441	649
790	2444	645
791	2447	642
792	2449	639
793	2452	636
794	2455	633
795	2458	630
796	2461	626
797	2464	623
798	2466	620
799	2469	617
800	2472	614
801	2474	610
802	2477	607
803	2479	604
804	2481	601
805	2484	598
806	2487	594
807	2489	591
808	2492	588
809	2494	585
810	2497	581
811	2499	578
812	2502	575
813	2505	572
814	2507	569
815	2510	566
816	2513	562
817	2515	559
818	2518	556
819	2521	553
820	2524	550
821	2527	547
822	2530	544
823	2533	541
824	2535	537
825	2537	534
826	2540	531
827	2543	528
828	2546	525
829	2550	522
830	2552	519
831	2555	516
832	2558	513
833	2562	509
834	2564	506
835	2568	503
836	2590	504
837	2597	502
838	2601	499
839	2604	496
840	2607	493
841	2610	489
842	2612	486
843	2615	483
844	2618	480
845	2620	477
846	2623	473
847	2626	470
848	2628	467
849	2631	464
850	2633	461
851	2636	457
852	2639	454
853	2642	451
854	2644	448
855	2647	445
856	2650	442
857	2652	439
858	2655	435
859	2657	432
860	2660	429
861	2662	426
862	2665	423
863	2667	419
864	2670	416
865	2672	413
866	2675	410
867	2677	407
868	2680	404
869	2682	400
870	2685	397
871	2688	394
872	2691	391
873	2694	388
874	2696	385
875	2699	382
876	2701	378
877	2704	375
878	2707	372
879	2709	369
880	2712	366
881	2714	363
882	2717	360
883	2719	356
884	2722	353
885	2725	350
886	2727	347
887	2730	344
888	2732	341
889	2735	338
890	2738	335
891	2741	331
892	2743	328
893	2746	325
894	2749	322
895	2752	319
896	2755	316
897	2758	313
898	2761	310
899	2763	307
900	2767	304
901	2769	300
902	2772	297
903	2775	294
904	2778	291
905	2781	288
906	2784	285
907	2786	282
908	2789	279
909	2792	276
910	2794	273
911	2797	269
912	2799	266
913	2802	263
914	2804	260
915	2807	257
916	2810	254
917	2812	251
918	2815	248
919	2817	245
920	2820	241
921	2823	238
922	2826	235
923	2829	232
924	2831	229
925	2834	226
926	2837	223
927	2839	220
928	2842	217
929	2844	214
930	2847	211
931	2849	207
932	2852	204
933	2855	201
934	2857	198
935	2860	195
936	2863	192
937	2867	189
938	2870	186
939	2873	183
940	2875	180
941	2878	177
942	2880	174
943	2883	171
944	2886	167
945	2888	164
946	2891	161
947	2893	158
948	2896	155
949	2899	152
950	2902	149
951	2904	146
952	2907	143
953	2910	140
954	2913	137
955	2915	134
956	2918	131
957	2921	128
958	2924	125
959	2926	121
960	2929	118
961	2932	115
962	2934	112
963	2937	109
964	2940	106
965	2943	103
966	2946	100
967	2949	97
968	2952	94
969	2956	91
970	2959	88
971	2962	85
972	2964	82
973	2967	79
974	2970	76
975	2973	73
976	2976	70
977	2978	67
978	2981	63
979	2984	60
980	2987	57
981	2989	54
982	2992	51
983	2995	48
984	2998	45
985	3003	42
986	3006	39
987	3009	36
988	3012	33
989	3015	30
990	3018	27
991	3021	24
992	3024	21
993	3028	18
994	3031	15
995	3034	12
996	3037	9
997	3040	6
998	3043	3
999	3046	0
